latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,test_kl_divergence,correlation_dis reonstructed equations,valid reconstructed equations
16,-0.1531330943107605,0.07110502570867538,-0.1307450771331787,0.22481918334960938,60,0.8166666666666667,0.375,0.001841811587413152,0.03414440155029297,0,0.5572265535593033,0.001841811657262345,0.9232855339845022,0.0,0.44496768712997437,7.0
16,-0.16550490260124207,0.30875131487846375,-0.17967555522918702,0.3723562002182007,70,0.7875,0.21666666666666667,0.00964710017045339,0.0779133399327596,0.0001,0.6897237499554952,0.009647099844490489,0.7653439889351527,0.14140226940313974,0.23630119860172272,9.0
16,-0.16857664287090302,0.47633394598960876,-0.13828445672988893,0.4248205661773682,46,0.7083333333333334,0.13333333333333333,0.03880783716837565,0.15987154642740886,0.001,0.9645739197731018,0.03880783667167028,0.5043807377417883,0.47901973376671475,-0.21899987757205963,7.0
16,-0.1613450050354004,0.29711341857910156,-0.1691107392311096,0.2731766223907471,51,0.3347222222222222,0.0,0.2876567840576172,0.3591531117757161,0.01,2.080825686454773,0.2876567641894023,0.7118653853734335,0.13672313435624042,0.0,0.0
16,-0.1873503178358078,0.016598084941506386,-0.1805192708969116,0.07210220694541931,100,0.3194444444444444,0.0,0.14635446866353352,0.29932276407877606,0.1,2.089103013277054,0.1463544617096583,1.0003185073534648,0.01042371899044762,0.0,0.0
16,-0.17891304194927216,0.040548935532569885,-0.1703030824661255,0.0899234414100647,100,0.2916666666666667,0.0,0.2193211078643799,0.3373495737711589,1,2.125779648621877,0.2193211130797863,0.9791705459356308,0.003222008546193441,0.0,0.0
16,-0.1550002098083496,0.12717293202877045,-0.14296854734420777,0.5111435890197754,69,0.7986111111111112,0.23333333333333334,0.0036750460664431253,0.04336435000101725,0,0.683954581618309,0.003675046124650786,0.8951911777257919,0.0,0.9213212728500366,19.0
16,-0.09994689375162125,0.33072128891944885,-0.1306998610496521,0.2603159427642822,45,0.8180555555555555,0.26666666666666666,0.007692983746528626,0.0712618350982666,0.0001,0.5419828991095225,0.0076929838784659905,0.8249636540810267,0.24370598793029785,0.491456538438797,15.0
16,-0.16013960540294647,0.5401703715324402,-0.1501678466796875,0.4733292102813721,77,0.6430555555555556,0.058333333333333334,0.029677400986353557,0.13782512346903483,0.001,1.201913555463155,0.02967740160723527,0.42820286750793457,0.5383401215076447,0.35513046383857727,15.0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16,-0.17302930355072021,-0.03439141809940338,-0.17819949388504028,0.08382659554481506,8,0.2972222222222222,0.0,0.24529072443644206,0.3680026372273763,1,2.1047611435254416,0.24529071897268295,1.0572869777679443,0.0026444618900616965,0.0,0.0
16,-0.15446589887142181,0.3198205232620239,-0.15121079683303834,0.33185701370239257,81,0.8263888888888888,0.36666666666666664,0.0007025230055054029,0.02112895647684733,0,0.5137683103481928,0.0007025230491611486,0.681826263666153,0.0,0.13321453332901,9.0
16,-0.10528284311294556,0.5227429270744324,-0.11323769092559814,0.5868881702423095,17,0.7444444444444445,0.21666666666666667,0.00881279210249583,0.07487579186757405,0.0001,0.7974684437115988,0.008812792366370559,0.43830451369285583,0.15850685785214105,0.2946448028087616,10.0
16,-0.09868831187486649,0.5810478329658508,-0.11706963777542115,0.49764227867126465,72,0.6166666666666667,0.075,0.0300222913424174,0.13282775084177653,0.001,1.1528818408648174,0.030022293484459322,0.3666302760442098,0.45072514315446216,0.4474845826625824,11.0
16,-0.1676681786775589,0.2811773717403412,-0.148060142993927,0.27357285022735595,100,0.3111111111111111,0.0,0.14757421811421711,0.3060073216756185,0.01,2.1334287524223328,0.14757421799004078,0.7567466696103414,0.09780118676523368,0.0,0.0
16,-0.16785657405853271,0.18176734447479248,-0.17457770109176635,0.15100424289703368,100,0.2916666666666667,0.0,0.3186769167582194,0.4176938056945801,0.1,2.1687357227007547,0.3186769212285678,0.8536756883064905,0.009166467158744732,0.0,0.0
16,-0.12842482328414917,0.1437547355890274,-0.16765983104705812,0.10071406364440919,100,0.2763888888888889,0.0,0.25031655629475913,0.35162150065104164,1,2.155998388926188,0.2503165466090043,0.8887068927288055,0.007409768799940745,0.0,0.0
16,-0.013652374036610126,0.6831150650978088,-0.06046571731567383,0.6460262298583984,15,0.8027777777777778,0.31666666666666665,0.002409001688162486,0.03941483894983928,0,0.632052481174469,0.002409001754131168,0.37251490354537964,0.0,0.5702840089797974,19.0
16,-0.10863999277353287,0.6140978932380676,-0.10221461057662964,0.6512007713317871,27,0.8111111111111111,0.25,0.00903947651386261,0.07429846127827962,0.0001,0.6447333643833796,0.009039475892980894,0.4155089656511943,0.18531600137551626,0.6400115489959717,16.0
