latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individual),accuracy equations,constant MSE,average distance constants,weight,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,test_kl_divergence,correlations_dis_train,learning_rate
4,,0.03412412479519844,0.02320325970649719,0.059999889135360716,,1.0,1.0,0.006256781397639094,0.06339324744972023,0,0.0001,0.0005530614850269214,0.012102836805924371,0.9670439386689985,554.8309837547508,,0.001
4,,0.6785495281219482,-0.056615298986434935,0.655236005783081,,1.0,1.0,0.004610845527133426,0.0535816037977064,0.1,0.0001,0.006559555245247965,0.014480536451210847,0.3298175922922186,678.4391842403927,,0.001
4,,0.9774346947669983,-0.05125645399093628,0.9660525321960449,,1.0,1.0,0.0072502200667922565,0.0664292928334829,1,0.0001,0.0010336752944764354,0.010662217989463258,0.048727568742391224,847.5599983833931,,0.001
4,,0.9955599308013916,-0.03099777102470398,0.9921721458435059,,1.0,1.0,0.007579601777566446,0.06711797971983213,10,0.0001,0.00228533978932663,0.012117209089164799,0.005577182447588122,1082.9120194718644,,0.001
4,,0.9989069104194641,-0.036907872557640074,0.9982716560363769,,1.0,1.0,0.011482500385593723,0.07541646184148015,100,0.0001,0.06346736566125843,0.07374680812495786,0.0026040689365283863,1819.1492936417862,,0.001
4,,0.9997549057006836,-0.029217219352722167,0.9991387367248535,,0.9988738738738738,0.9986486486486487,0.02304296235780458,0.11363664575525233,1000,0.0001,0.013675695411055474,0.028500396607292665,0.00042894885346696183,2550.001511032517,,0.001
4,,0.22712470591068268,-0.06641480922698975,0.23209741115570068,,1.0,1.0,0.003879151473174224,0.04993213447364601,0,0.0001,0.0017265391757678732,0.004786633099806872,0.7542083875553028,524.9301518620672,,0.001
4,,0.7634422183036804,-0.01141476109623909,0.7299034118652343,,1.0,1.0,0.0060682593165217215,0.06058741389094172,0.1,0.0001,0.00028583009328498075,0.007882818661479128,0.2520954737792144,611.6416807432432,,0.001
4,,0.9702762961387634,0.0032899435609579086,0.9634517669677735,,1.0,1.0,0.007542172638145653,0.06773192431475665,1,0.0001,0.00048551841973676346,0.006265845823076529,0.0375643477246568,871.2155349319046,,0.001
4,,0.9967079162597656,-0.027192401885986327,0.9922614097595215,,1.0,1.0,0.00945578265834499,0.07625998419684332,10,0.0001,0.0030348494199003923,0.008985272004596284,0.008460979203920107,1274.3739896207242,,0.001
4,,0.9992961287498474,-0.03012683093547821,0.997578239440918,,1.0,1.0,0.017488895880209434,0.09225187559385557,100,0.0001,0.003734130862269651,0.030678158047030103,0.00781926029437297,1474.511646167652,,0.001
4,,0.9995869994163513,-0.04338499903678894,0.9994771957397461,,1.0,1.0,0.021227220586828282,0.10990078900311444,1000,0.0001,0.027187508436523983,0.03567595883096392,0.0004899203777313232,1570.4787663640202,,0.001
4,,0.0015195533633232117,-0.17986843585968018,0.017576704919338226,,1.0,1.0,0.004355818516499288,0.052151221198004645,0,0.0001,0.0021118827139002248,0.009385140298085438,0.9650877158384066,533.4649155075485,,0.001
4,,0.7752174735069275,-0.03187673091888428,0.6758768558502197,,1.0,1.0,0.006134626027700063,0.06182225201580976,0.1,0.0001,0.00041941972368304787,0.009842886520247604,0.2944140361773001,591.4338552114126,,0.001
4,,0.9680265784263611,-0.040559986233711244,0.9610599517822266,,1.0,1.0,0.008101246808026288,0.0712202381443333,1,0.0001,0.0019129644735732803,0.0144295612400448,0.032079799755199534,809.0531574970967,,0.001
4,,0.9946332573890686,-0.02991890013217926,0.9925838470458984,,1.0,1.0,0.007510711051322319,0.06873718983418232,10,0.0001,0.008430045071715565,0.012321631172420206,0.007069129396129299,1194.0135201119087,,0.001
4,,0.999476432800293,-0.03665038347244263,0.9988385200500488,,1.0,1.0,0.013035482973665805,0.08264130257271432,100,0.0001,0.007160772486099017,0.019158797149823326,0.0007752719763162974,1427.2265559016048,,0.001
4,,0.9994798898696899,-0.01875991076231003,0.9984850883483887,,0.9981981981981982,0.9972972972972973,0.0456151498330606,0.16047493187156883,1000,0.0001,0.030118817048197664,0.08309117659322314,0.0012093492456384607,2428.90075353674,,0.001
4,,0.10915209352970123,0.016618730127811433,0.10641525983810425,,1.0,1.0,0.007534831923407478,0.06861285647830448,0,0.0001,0.0005686826642321083,0.009290621892825977,0.8924171658786567,544.2632322569151,,0.001
4,,0.883644700050354,-0.05090540647506714,0.8255051612854004,,1.0,1.0,0.008036741050514015,0.07200999904323269,0.1,0.0001,0.0032687143633469335,0.012872565348909513,0.22963871424262589,681.0268134039801,,0.001
4,,0.9739471673965454,-0.02190130054950714,0.9594904899597168,,1.0,1.0,0.007532275689614786,0.06721498644029772,1,0.0001,0.0016787241618265005,0.0074304179791864515,0.04192513952384124,780.3986445246516,,0.001
4,,0.9966485500335693,-0.04348079264163971,0.993858814239502,,1.0,1.0,0.007121682811427761,0.0666530196731155,10,0.0001,0.00433783683095228,0.01817624452146324,0.008643412912214125,1085.4150456608952,,0.001
4,,0.9988011121749878,-0.025497958064079285,0.9974740028381348,,1.0,1.0,0.014043167475107554,0.08936513952306799,100,0.0001,0.004737716802156757,0.014694306665930796,0.0022765913525143186,1510.5868711729308,,0.001
4,,0.9997712969779968,-0.02920735478401184,0.9996468544006347,,1.0,1.0,0.03728945964091533,0.13994118974015518,1000,0.0001,0.033951462812822415,0.05031250996162762,0.00048742503733248323,2274.512903161951,,0.001
4,,0.1586960405111313,-0.22225444316864013,0.15936414003372193,,1.0,1.0,0.004610969569232013,0.054163056450921135,0,0.0001,0.005496922629882229,0.006204234788546691,0.8569661870196059,670.5490945352091,,0.001
4,,0.7881785035133362,-0.056049644947052,0.7307475566864013,,1.0,1.0,0.00827139003856762,0.07209575240676468,0.1,0.0001,0.002331176719274702,0.007104798075365457,0.26159424072987325,551.681870744035,,0.001
4,,0.974136471748352,-0.026881700754165648,0.9628368377685547,,1.0,1.0,0.006276775050807644,0.06211114831872889,1,0.0001,0.009321564866449744,0.010967996638469599,0.03617934197992892,716.2203022724873,,0.001
4,,0.995033860206604,-0.011569971591234208,0.9915871620178223,,1.0,1.0,0.008460041638967153,0.072883652351998,10,0.0001,0.00191014824549957,0.020841344020555954,0.00706912375785209,998.8652797389675,,0.001
