latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,learning_rate,correlation_dis reonstructed equations,valid reconstructed equations
16,-0.2551229000091553,0.16945506632328033,-0.23551723957061768,0.19557528495788573,68,0.9222222222222223,0.6083333333333333,0.10270058314005534,0.26446900367736814,0.1,0.2826676070690155,19.0
16,-0.10785186290740967,0.3601730763912201,-0.12122104167938233,0.4225339412689209,54,0.18888888888888888,0.0,0.12473695278167725,0.2705095291137695,1e-05,0.0,0.0
16,-0.11096348613500595,0.38345178961753845,-0.12124886512756347,0.33497917652130127,24,0.8666666666666667,0.4166666666666667,0.0008965563029050827,0.022724896669387817,0.0001,0.25900399684906006,13.0
16,-0.18977312743663788,0.3529844284057617,-0.14694361686706542,0.3315702438354492,33,0.9986111111111111,0.9916666666666667,8.064409097035726e-05,0.007611672580242157,0.001,0.7570748925209045,14.0
16,-0.20317834615707397,0.2947901785373688,-0.17208633422851563,0.25639729499816893,96,0.9638888888888889,0.8333333333333334,0.003645131985346476,0.04749949375788371,0.01,0.6349304914474487,14.0
16,-0.18196414411067963,0.25757983326911926,-0.16078027486801147,0.3037904977798462,8,0.8194444444444444,0.31666666666666665,0.16315371195475262,0.3450334548950195,0.1,0.0982280820608139,14.0
16,-0.08635560423135757,0.19751423597335815,-0.10218956470489501,0.31825575828552244,5,0.2569444444444444,0.0,0.06353718439737956,0.19371633529663085,1e-05,0.22365806996822357,100.0
16,-0.20735444128513336,0.5965924859046936,-0.15455594062805175,0.5204061031341553,38,0.8486111111111111,0.4083333333333333,0.0003705460267762343,0.014238844315210978,0.0001,-0.04726909473538399,10.0
16,-0.16454561054706573,0.6211244463920593,-0.13563852310180663,0.5847469806671143,18,0.9861111111111112,0.975,0.0007099671910206477,0.022102113564809164,0.001,0.896290123462677,11.0
16,-0.13700087368488312,0.6709117293357849,-0.14684919118881226,0.6451873779296875,93,0.9916666666666667,0.975,0.000514217559248209,0.018157076835632325,0.01,0.9145504832267761,19.0
16,-0.29504287242889404,0.18594157695770264,-0.27367334365844725,0.1671489119529724,99,0.8083333333333333,0.3,0.26248029073079426,0.37582931518554685,0.1,0.10053487122058868,13.0
16,-0.1914263516664505,0.36738982796669006,-0.18519070148468017,0.3206902742385864,59,0.29583333333333334,0.0,0.1955847104390462,0.29239654541015625,1e-05,0.0,0.0
16,-0.13902384042739868,0.23304057121276855,-0.14164383411407472,0.2563795566558838,91,0.7875,0.2833333333333333,0.0008918716882665952,0.023557927211125693,0.0001,0.34238719940185547,9.0
16,-0.0493009053170681,0.5765660405158997,-0.07730616331100464,0.6307149887084961,51,0.9722222222222222,0.9416666666666667,0.00011065352397660414,0.00840745766957601,0.001,0.8733100295066833,9.0
16,-0.13243801891803741,0.20985667407512665,-0.1073312520980835,0.3618579387664795,73,0.9833333333333333,0.9,0.007392418384552002,0.06859801610310873,0.01,0.43920642137527466,12.0
16,-0.18520523607730865,0.4344501495361328,-0.1872852087020874,0.30130963325500487,74,0.9861111111111112,0.925,0.014577921231587727,0.09748720328013102,0.1,0.5710191130638123,14.0
