,x,y,z,Category_prefix,Category
6585,2.1581297,-0.2800897,0.59788394,"['/', 'cos', 'x_1', '*', 'c_1', 'x_1']",(cos(x_1)/(0.08*x_1))
6586,0.77258503,-0.41339925,-0.67085433,"['abs', 'min', '*', 'x_1', 'c_1', 'x_1']","abs(min((x_1*0.77),x_1))"
6587,-0.49214286,-0.38333866,-0.77289045,"['-', '*', '2', 'x_1', 'abs', 'x_1']",((2*x_1)-abs(x_1))
6588,-0.19731003,-0.04910623,1.2271502,"['exp', 'cos', 'min', 'c_1', 'x_1', '<PAD>']","exp(cos(min(0.15,x_1)))"
6589,1.1883703,0.5852639,-1.0367619,"['abs', 'max', 'c_1', 'x_1', '<PAD>', '<PAD>']","abs(max(0.66,x_1))"
6590,0.21448155,-1.0847679,-0.54792774,"['exp', 'max', 'c_1', 'x_1', '<PAD>', '<PAD>']","exp(max(0.52,x_1))"
6591,-0.34675688,-1.1789237,-0.3770882,"['/', 'tan', 'x_1', '**', 'x_1', '2']",(tan(x_1)/(x_1**2))
6592,-0.19129243,1.3188897,0.124518305,"['min', '**', 'c_1', 'x_1', 'x_1', '<PAD>']","min((0.18**x_1),x_1)"
6593,0.1730555,0.1356152,2.0165653,"['min', '-', 'x_1', 'c_1', 'cos', 'x_1']","min((x_1-0.36),cos(x_1))"
6594,-0.28996223,1.161947,0.29109207,"['*', 'c_1', 'acos', 'sin', 'x_1', '<PAD>']",(0.95*acos(sin(x_1)))
6595,0.15920815,0.23024149,-0.84888184,"['min', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']","min(0.57,x_1)"
6596,-0.31045556,0.09494702,-0.61183685,"['-', 'abs', 'x_1', '*', 'c_1', 'x_1']",(abs(x_1)-(0.15*x_1))
6597,0.58144605,0.46670756,0.16755983,"['+', 'x_1', 'max', 'c_1', 'x_1', '<PAD>']","(x_1+max(0.67,x_1))"
6598,-0.86734504,-0.6082182,-0.74141717,"['+', '/', 'c_1', 'x_1', 'x_1', '<PAD>']",((0.81/x_1)+x_1)
6599,-1.125544,-0.506371,-0.26408428,"['*', '**', 'c_1', 'x_1', 'x_1', '<PAD>']",((0.31**x_1)*x_1)
6600,1.3428643,0.3680131,-0.8842772,"['*', 'x_1', 'sin', '-', 'c_1', 'x_1']",(x_1*sin((0.4-x_1)))
6601,0.41377354,0.31869996,-0.58051264,"['-', 'c_1', 'exp', 'x_1', '<PAD>', '<PAD>']",(0.2-exp(x_1))
6602,0.08617389,0.14482228,1.2834867,"['-', 'sqrt', 'cos', 'x_1', 'c_1', '<PAD>']",(sqrt(cos(x_1))-0.5)
6603,0.6799347,0.1436431,-0.6494417,"['-', 'c_1', 'exp', 'x_1', '<PAD>', '<PAD>']",(0.67-exp(x_1))
6604,-1.1115606,1.2424514,-0.01786183,"['acos', '*', 'c_1', 'x_1', '<PAD>', '<PAD>']",acos((0.78*x_1))
6605,0.80603695,-2.6339545,-1.2140937,"['+', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(0.3+x_1)
6606,-0.35839173,-0.62219566,-0.5347857,"['min', 'asin', 'x_1', '*', '2', 'x_1']","min(asin(x_1),(2*x_1))"
6607,-2.0124807,-0.13888668,0.29984367,"['max', 'exp', 'x_1', 'max', 'c_1', 'x_1']","max(exp(x_1),max(0.68,x_1))"
6608,0.73418283,0.10722166,0.48607516,"['+', 'c_1', 'max', 'acos', 'x_1', 'x_1']","(0.2+max(acos(x_1),x_1))"
6609,-1.2064266,-0.18892163,-0.70701355,"['exp', 'cos', 'cos', '**', 'c_1', 'x_1']",exp(cos(cos((0.05**x_1))))
6610,0.2622822,-1.4869727,0.65930617,"['exp', 'abs', '*', 'c_1', 'cos', 'x_1']",exp(abs((0.41*cos(x_1))))
6611,0.9332547,-1.2252811,1.3495098,"['cos', 'exp', '+', 'c_1', 'x_1', '<PAD>']",cos(exp((0.59+x_1)))
6612,-0.47706383,0.43608046,-0.5812135,"['abs', '*', 'c_1', 'x_1', '<PAD>', '<PAD>']",abs((0.63*x_1))
6613,-0.6089802,-0.05989988,2.2891529,"['+', 'c_1', 'sin', 'sin', 'sin', 'x_1']",(0.97+sin(sin(sin(x_1))))
6614,0.0900729,-1.536472,-0.43047476,"['asin', '*', 'sin', 'acos', 'x_1', 'c_1']",asin((sin(acos(x_1))*0.21))
6615,-1.0865344,0.7861766,-0.15514445,"['**', 'abs', 'x_1', 'c_1', '<PAD>', '<PAD>']",(abs(x_1)**0.22)
6616,1.0455444,-1.7858039,-0.30151758,"['/', 'x_1', 'c_1', '<PAD>', '<PAD>', '<PAD>']",(x_1/0.6)
6617,-0.337614,-0.12659098,0.230609,"['*', '2', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(2*x_1)
6618,-1.1443233,-0.49183503,1.0961001,"['abs', 'cos', '**', 'x_1', '2', '<PAD>']",abs(cos((x_1**2)))
6619,0.90272874,0.9181959,-0.25362968,"['exp', '*', 'c_1', 'x_1', '<PAD>', '<PAD>']",exp((0.79*x_1))
6620,0.045337856,-0.05492473,1.0904201,"['*', 'x_1', '+', 'c_1', 'x_1', '<PAD>']",(x_1*(0.82+x_1))
6621,1.7386963,-0.8027058,-0.6390581,"['+', 'c_1', 'x_1', '<PAD>', '<PAD>', '<PAD>']",(0.51+x_1)
6622,0.99587977,0.2870902,-0.5406543,"['exp', 'abs', '-', 'c_1', 'x_1', '<PAD>']",exp(abs((0.03-x_1)))
6623,-1.1590866,-0.7268523,1.1744802,"['tan', '/', 'c_1', 'x_1', '<PAD>', '<PAD>']",tan((0.86/x_1))
