latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,test_kl_divergence,correlation_dis reonstructed equations,learning_rate,accuracy (individual),weight
4,,0.7805308699607849,-0.02899572253227234,0.718642282485962,,,0.2905405405405405,0.019627273404920424,0.0889310682142103,1e-05,1.96414053440094,0.019960857927799225,0.31447239824243495,8647.112172719595,,1e-05,0.6299549549549549,1.0
4,,0.853289783000946,-0.006780873239040375,0.7844817161560058,,,0.9986486486486487,0.004454576002584921,0.050149845432590795,1e-05,0.00883873415531943,0.006963048748533569,0.19861543903479706,3144.899405814506,,0.0001,0.9990990990990991,1.0
4,,0.9867587685585022,-0.021775510907173157,0.9830431938171387,,,1.0,0.0017244364764239337,0.032990592234843484,1e-05,0.000662990181464576,0.0023282632228565983,0.01871402360297538,1463.8360257535367,,0.001,1.0,1.0
4,,0.9130426049232483,-0.01990947127342224,0.6593764305114747,,,0.9986486486486487,0.010397726136284905,0.08102430395177893,1e-05,0.010803467757697846,0.03710067458450794,0.27784174439069387,1250.7135438661317,,0.01,0.9988738738738738,1.0
4,,,,,,,0.02837837837837838,,,1e-05,,,,,,0.1,0.32837837837837835,1.0
4,,0.826092004776001,-0.011708830296993256,0.697095537185669,,,0.08378378378378379,0.03296999544710726,0.09784309799606736,1e-05,3.2374052389248,0.08974171833865144,0.3802031850492632,4643.994054845862,,1e-05,0.4045045045045045,1.0
4,,0.7984609007835388,-0.029389289021492005,0.7599430561065674,,,1.0,0.007456336150298248,0.06951024854505385,1e-05,0.14832646651445208,0.002480802094765209,0.2573326850259626,9978.347088788007,,0.0001,1.0,1.0
4,,0.9891386032104492,-0.04091286063194275,0.9800909042358399,,,1.0,0.0018220867659594561,0.03280810794314823,1e-05,0.0006572649077940229,0.002934376583308787,0.011698279026392344,1276.3858906513935,,0.001,1.0,1.0
4,,0.9254373908042908,,,,,1.0,0.014395374865145296,0.09261334393475507,1e-05,,,,,,0.01,1.0,1.0
4,,,,,,,0.022972972972972974,,,1e-05,,,,,,0.1,0.32184684684684683,1.0
4,,0.6132324934005737,-0.053409576416015625,0.5654383182525635,,,0.08243243243243244,0.008512754698057432,0.06536667282516892,1e-05,3.3142964324435673,0.008779946727225103,0.4599024492341119,2121.9130875870987,,1e-05,0.40540540540540543,1.0
4,,0.8918431401252747,-0.034877198934555056,0.8425117492675781,,,1.0,0.003785556071513408,0.047420532638962204,1e-05,0.005728544025505717,0.0023795764742268097,0.1521073080397941,2411.7413082638304,,0.0001,1.0,1.0
4,,0.9872912764549255,-0.020855315029621124,0.9807516098022461,,,1.0,0.0022646359495214516,0.034649874712969805,1e-05,0.0004064680512316487,0.0016113492468296474,0.01910149084555136,1612.023425128009,,0.001,1.0,1.0
4,,0.9443965554237366,-0.07207103967666625,0.4205677032470703,,,1.0,0.007695794749904323,0.0641486812282253,1e-05,0.07524019749080008,0.05184269756884188,0.677002806921263,1378.7724906302788,,0.01,1.0,1.0
4,,0.7204746603965759,,,,,0.02027027027027027,8.580434438344595,2.536665797877956,1e-05,,,,,,0.1,0.26013513513513514,1.0
4,,0.7987452149391174,-0.003828379511833191,0.7314844608306885,,,0.1945945945945946,0.021085378286000843,0.09110140413851352,1e-05,2.422991072809374,0.01763432036229485,0.27258185518754496,5210.509481894003,,1e-05,0.5434684684684684,1.0
