latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,learning_rate,accuracy (individual),weight,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,correlations_dis_train
4,,0.4980640411376953,-0.014353235065937043,0.4535408020019531,,,0.6108108108108108,0.009950444505021378,0.07504381746859164,1e-05,0.8117117117117117,1.0,10.0,1.231676953869897,0.010011892929371144,0.5534125340951456,0.6748498678207397
4,,0.8380611538887024,-0.07072795629501342,0.7683245658874511,,,0.9986486486486487,0.012628903260102143,0.09265854294235643,0.0001,0.9993243243243243,1.0,10.0,0.0186727243676983,0.0023861166791411467,0.23057754378061038,0.8851519823074341
4,,0.9918200969696045,-0.021521759033203126,0.9822532653808593,,,1.0,0.000882166060241493,0.018465307596567514,0.001,1.0,1.0,10.0,0.000592911453536913,0.0009818396395751955,0.014624473210927602,1.2274483442306519
4,,0.9281795620918274,0.030058592557907104,0.56983323097229,,,1.0,0.007587807887309306,0.06546957686140731,0.01,1.0,1.0,10.0,0.0021858508022174843,0.41122305542356463,0.3903453253410958,0.8729416728019714
4,,,,,,,0.022972972972972974,,,0.1,0.34572072072072074,1.0,10.0,,,,
4,,0.5748931169509888,0.01563802808523178,0.5450602531433105,,,0.6513513513513514,0.0031663379153689824,0.04218005103033942,1e-05,0.8592342342342343,1.0,10.0,1.1993151484309017,0.0031638329540303834,0.45595524359393763,0.7304404973983765
4,,0.7698308229446411,-0.00671880766749382,0.7174946308135987,,,1.0,0.006253763147302576,0.07207523036647487,0.0001,1.0,1.0,10.0,0.04528561954361361,0.0022153271050695833,0.30999136776537506,0.900810182094574
4,,0.9927733540534973,-0.012640394270420074,0.9886356353759765,,,1.0,0.0008141921984182822,0.01670995531855403,0.001,1.0,1.0,10.0,0.0002457771265039195,0.002020358920531549,0.007193571006929553,1.2341783046722412
4,,0.9297255873680115,0.0058696471154689785,0.7872061252593994,,,1.0,0.0042577131374462234,0.05262063000653241,0.01,1.0,1.0,10.0,0.0019144259253202158,0.02302516035332873,0.18267934547888265,1.0457499027252197
4,,0.8892732262611389,,,,,0.022972972972972974,8.040083931587837,2.455904244087838,0.1,0.2740990990990991,1.0,10.0,,,,
4,,0.6916912198066711,-0.052552449703216556,0.634417724609375,,,0.41486486486486485,0.0035821296073294973,0.04049450900103595,1e-05,0.7880630630630631,1.0,10.0,1.4962842190587842,0.004791657047069355,0.34238968266023173,0.7565448880195618
4,,0.7596080303192139,0.0013462686911225319,0.7251338005065918,,,0.9986486486486487,0.0012281963954100738,0.02755813083133182,0.0001,0.9990990990990991,1.0,10.0,0.04802464386699973,0.010406270963013978,0.26184505143681086,0.9410287141799927
4,,0.9916570782661438,-0.004531757533550262,0.9844368934631348,,,1.0,0.0006616372111681345,0.014168971293681377,0.001,1.0,1.0,10.0,0.0002850099593382077,0.0008233873172807885,0.01329885544003667,1.2315547466278076
4,,0.9540292620658875,-0.01995609700679779,0.5927672863006592,,,1.0,0.009667015075683594,0.04663235432392842,0.01,1.0,1.0,10.0,0.006371236198606926,0.2985539981101111,0.43091658643774083,0.5950047969818115
