latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individual),accuracy equations,constant MSE,average distance constants,weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,correlations_dis_train,learning_rate
4,-0.07460511475801468,0.2278253734111786,-0.13744654655456542,0.14312525987625122,,1.0,1.0,0.003490563341089197,0.048784204431482264,0,0.00042272997096596236,0.006053912616964127,0.8653608794147903,0.19160392880439758,0.01
4,0.02209571748971939,0.7837473750114441,0.008401536196470261,0.4932084560394287,,1.0,1.0,0.004336193123379269,0.05008679467278558,0.1,0.002831146668491734,0.0008728495913847173,0.5610336991580757,0.5780864953994751,0.01
4,-0.016263430938124657,0.8795152306556702,-0.02921437323093414,0.8193158149719239,,1.0,1.0,0.004423998497627877,0.043870992918272275,1,0.0008968504380145287,0.01259491194945735,0.20731093029718142,1.0244275331497192,0.01
4,-0.021851293742656708,0.9847198724746704,-0.02738308608531952,0.7599601745605469,,1.0,1.0,0.009350027264775457,0.07327484955658783,10,2.126147424852526,0.34076353303484014,0.2410377086819829,0.9333879351615906,0.01
4,-0.014431225135922432,0.9975020289421082,-0.005945421010255814,0.8191328048706055,,1.0,1.0,0.025745572270573797,0.12275699924778294,100,0.9861243093335951,0.4803180414679888,0.155985928065068,0.9779298305511475,0.01
4,-0.008298806846141815,0.9981896877288818,-0.01609037220478058,0.9977679252624512,,0.9941441441441441,0.9918918918918919,0.07009688712455131,0.1984363452808277,1000,0.838784326572676,0.3095959064525527,0.0010511198559322872,1.2484689950942993,0.01
4,0.002368659246712923,0.18279986083507538,0.04136309921741486,0.09293268918991089,,1.0,1.0,0.0015262088260135135,0.030071392574825804,0,4.878638862243639e-05,9.672226715829802e-05,0.9209956269006472,0.14411374926567078,0.01
4,-0.03526923432946205,0.7578081488609314,-0.029123565554618834,0.6113320350646972,,1.0,1.0,0.003361067900786529,0.026332909352070576,0.1,0.012753789149526809,0.03998878262181942,0.29594763871785756,0.6339936852455139,0.01
4,-0.024824993684887886,0.9232909679412842,-0.020558734238147736,0.7692368030548096,,1.0,1.0,0.009215108123985497,0.0689861503807274,1,0.002969096098535669,0.07704352827214107,0.30358904519596613,0.8965617418289185,0.01
4,-0.017252210527658463,0.9921953678131104,0.00467287227511406,0.9462197303771973,,1.0,1.0,0.0068901654836293815,0.05097355713715424,10,0.22644229142649755,0.12066342933355151,0.03432632459176553,1.1946303844451904,0.01
4,-0.020813869312405586,0.9925342798233032,-0.010755205154418945,0.9639116287231445,,1.0,1.0,0.027870482367438238,0.12025173290355785,100,0.25996737756036425,0.26200987499307943,0.017368070177129796,1.2353898286819458,0.01
4,-0.022826798260211945,0.9992889761924744,-0.007282970845699311,0.9967852592468261,,0.9925675675675676,0.9878378378378379,0.18723517752982474,0.2521606651512352,1000,0.09509524818811868,0.2523935956729425,0.0018922485209800102,1.2472926378250122,0.01
4,-0.03543206304311752,0.2221071720123291,-0.030831295251846313,0.1485552668571472,,1.0,1.0,0.002515368364952706,0.04084831959492451,0,1.7408376191113446,0.3910517366351308,0.8749364445338378,0.19899731874465942,0.01
4,-0.05049919709563255,0.7567600607872009,-0.004686341062188149,0.4598579406738281,,1.0,1.0,0.018277504637434674,0.11457303021405195,0.1,0.04042665512502395,0.16969676003665538,0.4889745672006865,0.6591412425041199,0.01
4,-0.023989761248230934,0.9452682733535767,-0.02804817259311676,0.8648472785949707,,1.0,1.0,0.0035560743228809253,0.04038863826442409,1,0.0006143058979776814,0.010162699429595188,0.14741785300744548,1.0469708442687988,0.01
4,-0.016399884596467018,0.9927377700805664,-0.018458373844623566,0.7958992004394532,,1.0,1.0,0.00952403094317462,0.0584984083433409,10,0.027597055241868302,0.2432835618084347,0.19602854267970934,0.947287380695343,0.01
4,0.0032372947316616774,0.9963440299034119,-0.015087801218032836,0.9868494987487793,,1.0,1.0,0.04386893607474662,0.16188234896273226,100,0.06424094103528438,0.12989288669180227,0.011030248693517736,1.2377169132232666,0.01
4,-0.027653377503156662,0.9975236058235168,-0.015567077696323395,0.9981887817382813,,0.9862612612612612,0.9783783783783784,0.1130276448017842,0.20962083146378802,1000,0.19755977749623158,0.42502620594727025,0.0014443751927968617,1.2487602233886719,0.01
4,0.018347004428505898,0.2436162829399109,-0.08670970201492309,0.14747865200042726,,1.0,1.0,0.0081098105456378,0.07546960469838736,0,0.00025823630484582454,0.0017683698191634707,0.8553267072986912,0.18609191477298737,0.01
4,-0.004174736328423023,0.8140103816986084,0.06167611479759216,0.20986409187316896,,1.0,1.0,0.0020122698835424477,0.03813375009072793,0.1,0.03946339768810651,0.00019758351118071005,0.7811818888058534,0.21480710804462433,0.01
4,0.009592258371412754,0.9655002951622009,-0.020039603114128113,0.8920455932617187,,1.0,1.0,0.006161357261039115,0.057173352628140835,1,0.001197239013571242,0.03241295722388738,0.07353717571980245,1.1558727025985718,0.01
4,-0.01799933798611164,0.986578643321991,-0.012482395768165589,0.9448451042175293,,1.0,1.0,0.011334983722583668,0.07263314015156513,10,0.28480664253033494,0.3383529055360201,0.058489474895838146,1.1918293237686157,0.01
4,-0.011525098234415054,0.9973418116569519,-0.009279499948024749,0.9915285110473633,,1.0,1.0,0.05395196966222814,0.13057487075393265,100,2.0816059853579545,0.6103604669506485,0.007402088191058184,1.2434971332550049,0.01
4,-0.025193842127919197,0.9976962208747864,-0.025390160083770753,0.9990741729736328,,0.9835585585585586,0.977027027027027,0.09913070266311233,0.2492406484243032,1000,0.19009322562330477,0.3277191348575257,0.0005399270637615307,1.2488949298858643,0.01
4,-0.04104568064212799,0.3567348122596741,-0.03526695668697357,0.15712249279022217,,1.0,1.0,0.001378608394313503,0.02822639362232105,0,0.0002587651676573866,0.0077592212945927636,0.8537699451317659,0.20133094489574432,0.01
4,-0.0160455871373415,0.7804715037345886,-0.036526846885681155,0.5388976097106933,,1.0,1.0,0.0002685420215129852,0.012218243366963154,0.1,0.005329023285240338,0.0014573336662284124,0.40844878071063273,0.6871535778045654,0.01
4,-0.02670293115079403,0.8843702077865601,-0.02127722054719925,0.8172572135925293,,0.9977477477477478,0.9972972972972973,0.0049923877458314635,0.055804376344423035,1,0.0008154238300473505,0.004194297017592534,0.15449179104856542,1.0990371704101562,0.01
4,-0.018775202333927155,0.9902645945549011,-0.02597435414791107,0.9569639205932617,,1.0,1.0,0.00855509783770587,0.057478358294512776,10,0.022550730324174102,0.066478184575366,0.04269790488320428,1.1829700469970703,0.01
4,-0.029916223138570786,0.9977098107337952,-0.027118986845016478,0.9968091011047363,,1.0,1.0,0.03728688729775918,0.13434922501847552,100,0.021476021410922544,0.08364612010081073,0.0024015782652674496,1.2460559606552124,0.01
4,-0.019968857988715172,0.9974691867828369,-0.03785408437252045,0.9977320671081543,,0.9711711711711711,0.9459459459459459,0.08858471432247678,0.21309158737595016,1000,2.305577450507396,1.005481173057814,0.004628644601718799,1.2347437143325806,0.01
4,-0.11552176624536514,0.16911356151103973,-0.17697614431381226,0.06551182866096497,,1.0,1.0,0.004861019753121041,0.05379603102400496,0,0.0009390787525115082,0.00717770797200501,0.9317593598687971,0.10771898180246353,0.01
