latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,accuracy (individual),learning_rate,weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,test_kl_divergence
2,-0.03937041386961937,0.7561882138252258,-0.06136017441749573,0.7710366249084473,99,,0.11666666666666667,0.06686508655548096,0.2176493485768636,0.6694444444444444,0.01,0.0001,1.254055251677831,0.06686508220930894,0.3039969156185786,0.07651220479359229
4,-0.1258612424135208,0.7822675704956055,-0.10949168205261231,0.6899834156036377,78,,0.5416666666666666,0.0614354928334554,0.19514621098836263,0.8861111111111111,0.01,0.0001,0.5458528697490692,0.061435491467515625,0.1894181470076243,0.07957008698334296
8,-0.06844667345285416,0.7533771991729736,-0.07226169109344482,0.8027427673339844,56,,0.8416666666666667,0.019374390443166096,0.10076891581217448,0.9638888888888889,0.01,0.0001,0.2355450838804245,0.01937439028794567,0.24192015329996744,0.123277448117733
16,-0.1702917218208313,0.38231897354125977,-0.17149770259857178,0.49015378952026367,67,,0.7,0.01248507301012675,0.08936840693155924,0.9277777777777778,0.01,0.0001,0.7228463465968767,0.012485073956971368,0.5264444897572199,0.14127395922938982
32,-0.10555434226989746,0.8688734173774719,-0.11645392179489136,0.8653322219848633,46,,0.8583333333333333,0.012415494521458943,0.08677326838175456,0.9708333333333333,0.01,0.0001,0.15997074668606123,0.01241549577874442,0.11257865528265636,0.17195882772405943
64,-0.10850808769464493,0.7215628027915955,-0.10111401081085206,0.80035400390625,39,,0.7666666666666667,0.012723280986150106,0.0847308079401652,0.9458333333333333,0.01,0.0001,0.3102939650416374,0.012723281824340424,0.23876561224460602,0.2413618378341198
128,-0.1862301081418991,0.6501021385192871,-0.16968537569046022,0.6864304065704345,67,,0.7666666666666667,0.01936912933985392,0.10781400998433431,0.9430555555555555,0.01,0.0001,1.3002433118720849,0.01936912878106038,0.36342517534891766,0.19634133453170458
2,-0.0705605149269104,0.8682717680931091,-0.09407877922058105,0.7761309623718262,68,,0.1,0.1053999423980713,0.24963043530782064,0.6805555555555556,0.01,0.0001,0.964367593328158,0.1053999476134777,0.15364667773246765,0.07889672555029392
4,-0.060602154582738876,0.9509425759315491,-0.07834059596061707,0.7621109008789062,75,,0.525,0.08578017552693686,0.23538614908854166,0.8902777777777777,0.01,0.0001,0.6975347399711609,0.0857801791280508,0.056856200098991394,0.1090630932400624
8,-0.16770750284194946,0.8844218254089355,-0.15505778789520264,0.8429224014282226,41,,0.4583333333333333,0.013662509123484294,0.0905410369237264,0.8986111111111111,0.01,0.0001,0.33344170326987904,0.013662509775410095,0.14099457363287607,0.10582913209994634
16,-0.08387181907892227,0.6089498996734619,-0.07196624279022217,0.6686502456665039,86,,0.8666666666666667,0.01965210437774658,0.09892985820770264,0.9680555555555556,0.01,0.0001,0.3827898936967055,0.01965210501415034,0.48576149344444275,0.15805968518058458
32,-0.1708146333694458,0.5450355410575867,-0.14049122333526612,0.5901434898376465,71,,0.9166666666666666,0.011097302039464315,0.08583402633666992,0.9833333333333333,0.01,0.0001,0.11384969390928745,0.011097302427515388,0.4411878635485967,0.1888973427315553
64,-0.10110225528478622,0.6288313269615173,-0.12591178417205812,0.6458406925201416,86,,0.8833333333333333,0.01494195063908895,0.09609744548797608,0.9736111111111111,0.01,0.0001,0.3636697766681512,0.014941950716699163,0.45018825431664783,0.2398125777641932
128,-0.17790810763835907,0.7490460276603699,-0.13851224184036254,0.7725626468658447,24,,0.8583333333333333,0.017407319943110146,0.1049655278523763,0.9708333333333333,0.01,0.0001,0.37633661304910976,0.017407319663713377,0.17105538149674734,0.28244251509507495
2,-0.049643050879240036,0.8571246266365051,-0.0458551824092865,0.7889906406402588,92,,0.05,0.05935614109039307,0.19409767786661783,0.6625,0.01,0.0001,0.9227119038502375,0.059356137489279114,0.12491893768310547,0.07625950096795957
4,-0.09474119544029236,0.6438919305801392,-0.08902572393417359,0.662909460067749,68,,0.3,0.08582806587219238,0.2367751916249593,0.8069444444444445,0.01,0.0001,1.0030568490425746,0.08582806587219238,0.22058395047982535,0.10276881481210391
8,-0.05972746014595032,0.778430163860321,-0.06136785745620728,0.7966528415679932,70,,0.5166666666666667,0.03328587412834168,0.136027987798055,0.8777777777777778,0.01,0.0001,0.492444468041261,0.03328587409729759,0.16951286296049753,0.12909994771083197
16,-0.0703435018658638,0.8039526343345642,-0.08296597003936768,0.7724149227142334,78,,0.8666666666666667,0.019953451553980508,0.10302348931630452,0.9611111111111111,0.01,0.0001,0.3613720325132211,0.019953449722379446,0.24132137993971506,0.1508211431403955
32,-0.13095632195472717,0.5552181005477905,-0.13453696966171264,0.5686034679412841,80,,0.775,0.012720714012781778,0.08632028897603353,0.9527777777777777,0.01,0.0001,0.22430947671333948,0.012720714012781778,0.3251259575287501,0.16858448088169098
64,-0.1468467265367508,0.6257274746894836,-0.15444915294647216,0.6695659637451172,33,,0.8333333333333334,0.023671090602874756,0.1210496743520101,0.9597222222222223,0.01,0.0001,0.2604794626434644,0.02367108998199304,0.25482332209746045,0.26684822390476864
128,-0.17827530205249786,0.7165975570678711,-0.17841014862060547,0.7342701911926269,65,,0.85,0.02103638251622518,0.10930187702178955,0.9708333333333333,0.01,0.0001,0.08434330113232136,0.021036382919798296,0.2894340405861537,0.21253728369871774
2,-0.09586694091558456,0.7151777148246765,-0.09565374851226807,0.6141880035400391,76,,0.16666666666666666,0.07922828992207845,0.2245678742726644,0.7486111111111111,0.01,0.0001,1.0704276114702225,0.0792282906671365,0.33137307067712146,0.071437976633509
4,-0.13268397748470306,0.8072472214698792,-0.09907099604606628,0.8031376838684082,86,,0.475,0.05851158301035563,0.19249327977498373,0.8680555555555556,0.01,0.0001,0.8930773138999939,0.058511584686736264,0.17518803973992667,0.08552490423123042
8,-0.08063483983278275,0.8401917815208435,-0.09333874583244324,0.7234045505523682,58,,0.44166666666666665,0.013160618146260579,0.08687917391459148,0.8694444444444445,0.01,0.0001,0.628126489619414,0.013160617944474021,0.18442944685618082,0.1015719436109066
16,-0.1794489473104477,0.6635732054710388,-0.18251293897628784,0.6859164714813233,34,,0.7583333333333333,0.011470715204874674,0.0858049233754476,0.9486111111111111,0.01,0.0001,0.2672949743767579,0.011470716136197249,0.2367903490861257,0.13375019716719785
32,-0.1558632254600525,0.7618275284767151,-0.13249216079711915,0.7640322685241699,25,,0.9,0.021158740917841593,0.10764676729838053,0.9819444444444444,0.01,0.0001,0.1678408719599247,0.02115873961398999,0.22602061927318573,0.17653128753105798
64,-0.13606883585453033,0.8076086044311523,-0.1311802387237549,0.8090064048767089,14,,0.8083333333333333,0.01719073255856832,0.09654964605967203,0.9597222222222223,0.01,0.0001,0.15239403086404005,0.01719073283796509,0.2294518401225408,0.2551165024439494
128,-0.13026894629001617,0.7675817608833313,-0.1496925711631775,0.8203319549560547,77,,0.8916666666666667,0.020094515879948933,0.1096764882405599,0.9805555555555555,0.01,0.0001,0.2508248658850789,0.020094516687095165,0.21371966103712717,0.24483174458146095
2,-0.050676871091127396,0.44261983036994934,-0.0525596022605896,0.5148828983306885,86,,0.1,0.07464766502380371,0.2184938112894694,0.6847222222222222,0.01,0.0001,0.9275248547395071,0.07464766812821229,0.5106716305017471,0.07359105038146178
