latent dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,accuracy (individual),learning_rate
2,-0.08105558902025223,0.459868460893631,-0.1027841329574585,0.45074801445007323,90,,0.4083333333333333,0.09901188214619955,0.26068032582600914,0.7930555555555555,0.01
4,-0.08983471244573593,0.46354779601097107,-0.09728402495384217,0.7241912841796875,81,,0.925,0.07532203992207845,0.20848180452982584,0.9680555555555556,0.01
8,-0.0590677447617054,0.818127453327179,-0.09838795065879821,0.789207124710083,26,,0.8916666666666667,0.013755051294962566,0.08479096889495849,0.9694444444444444,0.01
16,-0.04853199049830437,0.8239491581916809,-0.056748151779174805,0.750492525100708,31,,0.9166666666666666,0.00890960991382599,0.06041905879974365,0.9666666666666667,0.01
32,0.025596706196665764,0.6111590266227722,-0.012518773972988128,0.6127745628356933,64,,0.85,0.01278848151365916,0.08598783810933432,0.9388888888888889,0.01
64,-0.06016518548130989,0.9512128233909607,-0.07791928648948669,0.9035512924194335,97,,0.9583333333333334,0.0026083499193191527,0.03823318878809611,0.9888888888888889,0.01
128,-0.15299250185489655,0.2463611364364624,-0.10423147678375244,0.4598050594329834,76,,0.9166666666666666,0.006866222620010376,0.05762958526611328,0.9708333333333333,0.01
2,-0.175730898976326,0.41506150364875793,-0.1133697509765625,0.62034592628479,100,,0.30833333333333335,0.16800648371378582,0.33409029642740884,0.8013888888888889,0.01
4,-0.058659136295318604,0.6223548054695129,-0.06553491950035095,0.47523651123046873,85,,0.9333333333333333,0.060152864456176756,0.18656349182128906,0.9777777777777777,0.01
8,-0.12060815095901489,0.7470844388008118,-0.17616617679595947,0.7082785606384278,24,,0.8666666666666667,0.007921049495538075,0.06494689385096232,0.9638888888888889,0.01
16,-0.11402801424264908,0.6430981755256653,-0.13185698986053468,0.6317162036895752,85,,0.8833333333333333,0.021111667156219482,0.11830994288126627,0.9736111111111111,0.01
32,-0.11197716742753983,0.6660400032997131,-0.11701415777206421,0.6935444355010987,91,,0.8666666666666667,0.007183795173962911,0.058194843928019206,0.9583333333333334,0.01
64,-0.3237493336200714,0.5071618556976318,-0.2652315855026245,0.6186447143554688,81,,0.6416666666666667,0.04517579873402913,0.16184447606404623,0.9333333333333333,0.01
128,-0.189100980758667,0.33817383646965027,-0.13197455406188965,0.3574897050857544,79,,0.9333333333333333,0.01843474308649699,0.09323552449544271,0.9888888888888889,0.01
2,0.025411302223801613,0.5357000827789307,-0.013590632379055024,0.516294288635254,91,,0.5166666666666667,0.08879173596700032,0.24974490801493326,0.8486111111111111,0.01
4,-0.04002263769507408,0.9179656505584717,-0.037729707360267636,0.8782558441162109,99,,0.95,0.057451510429382326,0.18248573939005533,0.9833333333333333,0.01
8,-0.10144650936126709,0.6813599467277527,-0.10446648597717285,0.676389741897583,34,,0.875,0.018733185529708863,0.09818355242411296,0.9666666666666667,0.01
16,-0.1774469017982483,0.8624498248100281,-0.10721679925918579,0.8422198295593262,46,,0.8083333333333333,0.5112837473551433,0.6078608830769857,0.9625,0.01
32,-0.12426488846540451,0.9108262062072754,-0.09721496105194091,0.8706190109252929,78,,0.8333333333333334,0.013001928726832071,0.07445050080617269,0.9513888888888888,0.01
64,-0.1393432468175888,0.6895241141319275,-0.1368263840675354,0.8156360626220703,77,,0.8666666666666667,0.013879559437433879,0.09389281272888184,0.9680555555555556,0.01
128,-0.04275396093726158,0.796353816986084,-0.11040961742401123,0.7421709537506104,36,,0.7583333333333333,0.04220094680786133,0.1607411543528239,0.9458333333333333,0.01
2,-0.06252740323543549,0.7427189946174622,-0.06337783336639405,0.8228023529052735,89,,0.4583333333333333,0.07139691511789957,0.2154965082804362,0.8583333333333333,0.01
4,-0.017284777015447617,0.7623264193534851,-0.029131120443344115,0.7304096221923828,68,,0.6666666666666666,0.073269255956014,0.219281005859375,0.8944444444444445,0.01
8,-0.06616628915071487,0.8190837502479553,-0.07345146536827088,0.7959958553314209,31,,0.6333333333333333,0.043291687965393066,0.16762256622314453,0.9152777777777777,0.01
16,-0.09883290529251099,0.8703127503395081,-0.08944447040557861,0.9020736694335938,65,,0.9666666666666667,0.009848692019780477,0.07220180829366048,0.9944444444444445,0.01
32,-0.08795426040887833,0.7583012580871582,-0.09527499079704285,0.7561584949493408,63,,0.9,0.005233124891916911,0.04606570402781169,0.9805555555555555,0.01
64,-0.11586201936006546,0.760399341583252,-0.08983244895935058,0.674976921081543,83,,0.8916666666666667,0.005855452517668406,0.04694929122924805,0.9708333333333333,0.01
128,-0.08771621435880661,0.6889557838439941,-0.12045767307281494,0.6643611907958984,91,,0.9333333333333333,0.002872726321220398,0.03251256346702576,0.9875,0.01
2,0.006509637925773859,0.4885789155960083,-0.025156661868095398,0.5383852481842041,85,,0.4,0.08234748840332032,0.2415903409322103,0.8125,0.01
4,-0.04875345155596733,0.617396354675293,-0.05276652574539185,0.5850216388702393,65,,0.9333333333333333,0.06708697477976482,0.20552523930867514,0.9888888888888889,0.01
8,-0.06160877272486687,0.6881561875343323,-0.10712034702301025,0.6704448223114013,69,,0.875,0.013541891177495321,0.08136828740437825,0.9555555555555556,0.01
16,-0.06071779131889343,0.8213252425193787,-0.12296142578125,0.8727212905883789,88,,0.9,0.004438336690266927,0.047535276412963866,0.975,0.01
32,-0.029032230377197266,0.9838102459907532,-0.07548100352287293,0.9185450553894043,68,,0.95,0.004823819796244303,0.04545518159866333,0.9861111111111112,0.01
64,-0.09074590355157852,0.9126811027526855,-0.0955670952796936,0.9267520904541016,66,,0.9166666666666666,0.008579177657763164,0.053306206067403154,0.9680555555555556,0.01
128,-0.0723949447274208,0.5265502333641052,-0.07982478737831115,0.6387825012207031,92,,0.7166666666666667,0.05028297106424968,0.16402117411295572,0.9388888888888889,0.01
2,-0.07632467150688171,0.5337076783180237,-0.058759450912475586,0.583625316619873,98,,0.38333333333333336,0.08436487515767416,0.24434903462727864,0.8097222222222222,0.01
4,-0.08450435847043991,0.72304368019104,-0.0610135018825531,0.7078215599060058,96,,0.8666666666666667,0.24292001724243165,0.3378637631734212,0.9708333333333333,0.01
8,-0.03978332504630089,0.3690812587738037,-0.05150098204612732,0.4258563995361328,56,,0.8833333333333333,0.006945568323135376,0.05775294303894043,0.9527777777777777,0.01
16,-0.12000582367181778,0.779026985168457,-0.1082228660583496,0.7778624534606934,48,,0.8166666666666667,0.005176118016242981,0.05558152993520101,0.9611111111111111,0.01
32,-0.08813566714525223,0.4967518746852875,-0.07298103570938111,0.5961321353912353,99,,0.8166666666666667,0.01851809024810791,0.09915850957234701,0.9583333333333334,0.01
64,-0.14308731257915497,0.839368999004364,-0.11290637254714966,0.8189006805419922,41,,0.9166666666666666,0.008384480079015096,0.07489662170410157,0.9583333333333334,0.01
128,-0.16348320245742798,0.8748717308044434,-0.08222047686576843,0.6934393405914306,81,,0.825,0.005488259593645731,0.05705787738164266,0.9430555555555555,0.01
