latent_dims,correlation_cor,correlation_dis,correlation_cor last 10 epochs,correlation_dis last 10 epochs,recovered equations,accuracy (individualt),accuracy equations,constant MSE,average distance constants,accuracy (individual),learning_rate,weight,kl_weight,test_reconstruction_loss,test_constant_loss,test_latent_correlation_loss,correlations_dis_train
32,,0.9964553713798523,-0.0178913876414299,0.9894577980041503,,,1.0,0.000975945994660661,0.024759514267380173,1.0,0.001,1.0,0.0001,0.0009833034395391274,0.0013388172893256352,0.007667932961438154,1.237390160560608
64,,0.9965028762817383,-0.01780918538570404,0.9944697380065918,,,1.0,0.0008696015622164752,0.02456587971867742,1.0,0.001,1.0,0.0001,0.00021120952402958897,0.00201081031008397,0.004849273610759426,1.2423995733261108
128,,0.9979349970817566,-0.0378690630197525,0.9945382118225098,,,1.0,0.00038448459393269305,0.013834722622020824,1.0,0.001,1.0,0.0001,0.00022089461669344706,0.0003916526632540784,0.003889909467181644,1.2432332038879395
32,,0.9881823658943176,-0.0349207729101181,0.9864481925964356,,,1.0,0.0005446411065153173,0.01818235242688978,1.0,0.001,1.0,0.0001,0.00026185976103816584,0.0022189306438195745,0.011576238516214732,1.2404472827911377
64,,0.9969039559364319,-0.020463384687900543,0.9886322975158691,,,1.0,0.0006465964220665597,0.020518637992240286,1.0,0.001,1.0,0.0001,0.0007212047384126816,0.0010315483338451264,0.008754015774340243,1.2413346767425537
128,,0.9967436194419861,-0.008391568064689636,0.986214542388916,,,1.0,0.0004481249967136899,0.0164751774555928,1.0,0.001,1.0,0.0001,0.0013971757666818244,0.0013657904456596116,0.010156097444328101,1.2402793169021606
32,,0.994411051273346,-0.03571959137916565,0.9720025062561035,,,1.0,0.0007006219915441565,0.02003333890760267,1.0,0.001,1.0,0.0001,0.0014161174681125762,0.011768004674514805,0.01410292531992938,1.2345417737960815
64,,0.9958848357200623,-0.02526337206363678,0.9930928230285645,,,1.0,0.0006568867612529446,0.015053346994760875,1.0,0.001,1.0,0.0001,0.00019248263413681197,0.0018634249934473552,0.007156078074429487,1.2405329942703247
128,,0.9956840872764587,-0.04163778126239777,0.9799304962158203,,,1.0,0.00030259902815561035,0.012975597381591797,1.0,0.001,1.0,0.0001,0.0019319808634463698,0.001416695463106137,0.011892428269257417,1.2382068634033203
32,,0.9969902634620667,-0.03170250058174133,0.9950928688049316,,,1.0,0.0007725257325816799,0.022506984504493507,1.0,0.001,1.0,0.0001,0.0001291396867501946,0.0006004857977795591,0.004063225275761372,1.2443712949752808
64,,0.9953656792640686,-0.04386382102966309,0.9941132545471192,,,1.0,0.0004920860802805102,0.016767048191379856,1.0,0.001,1.0,0.0001,0.00010884713663324726,0.0013083995609368022,0.005245688799265269,1.2408699989318848
128,,0.9970669150352478,-0.026663121581077576,0.9812703132629395,,,1.0,0.0003393283164179003,0.013439549626530828,1.0,0.001,1.0,0.0001,0.0017825954828121875,0.003020140159925496,0.012050899299415382,1.229504108428955
32,,0.9965589046478271,-0.02446114271879196,0.9947765350341797,,,1.0,0.00048343490909885715,0.016612542642129434,1.0,0.001,1.0,0.0001,0.0002665680123656686,0.0008302534764437509,0.00737670627800194,1.2434179782867432
64,,0.997093915939331,-0.04984909594058991,0.9946352005004883,,,1.0,0.0004874370790816642,0.016402092495480098,1.0,0.001,1.0,0.0001,0.0002590354095052651,0.008677644699157492,0.00601400072510178,1.2409716844558716
128,,0.9957650899887085,-0.01667841672897339,0.9938384056091308,,,1.0,0.0005114713230648557,0.01647905143531593,1.0,0.001,1.0,0.0001,0.004892045286691723,0.014459389878587948,0.006555749757869824,1.2412947416305542
32,,0.9924070239067078,-0.025422438979148865,0.9703667640686036,,,1.0,0.0004230023638622181,0.014681326376425254,1.0,0.001,1.0,0.0001,0.0004454390748562858,0.002038779795937542,0.01964822653177622,1.2284897565841675
64,,0.9964357018470764,-0.04320278465747833,0.9898103713989258,,,1.0,0.000528368998218227,0.016843365334175728,1.0,0.001,1.0,0.0001,0.0006478694208576722,0.0015405100920533358,0.010504103995658256,1.240967869758606
128,,0.9969056248664856,-0.027267193794250487,0.9930015563964844,,,1.0,0.0005349221664506036,0.016565364115947,1.0,0.001,1.0,0.0001,0.00045267335961988146,0.0008528778381406557,0.004019612396085584,1.2434626817703247
32,,0.9967018961906433,-0.011567424982786179,0.987181282043457,,,1.0,0.0007871585923272211,0.017269470884993268,1.0,0.001,1.0,0.0001,0.02175752678886056,0.10701122716371272,0.021785539549750252,1.1648672819137573
64,,0.9953585863113403,-0.015417391061782837,0.9920269012451172,,,1.0,0.0008473372942692525,0.021003403534760347,1.0,0.001,1.0,0.0001,0.0005500301887042116,0.0021541180148896936,0.010494314335487984,1.2386376857757568
128,,0.9967589974403381,-0.03626072704792023,0.9934558868408203,,,1.0,0.0006295317330875912,0.01861911206632047,1.0,0.001,1.0,0.0001,0.0003364255012333947,0.0008401931271372312,0.007186794603193128,1.2440322637557983
32,,0.9957454204559326,-0.016409973800182342,0.9946194648742676,,,1.0,0.00045946892854329703,0.016499520636893607,1.0,0.001,1.0,0.0001,0.00014884722170520676,0.003782803541980684,0.004511161430461987,1.242641568183899
64,,0.9953269958496094,-0.034255427122116086,0.991982364654541,,,1.0,0.0008141743975716669,0.021596541275849212,1.0,0.001,1.0,0.0001,0.0006533401827107662,0.0006839706420086677,0.005072618658478196,1.2406814098358154
128,,0.9965592622756958,-0.04181418418884277,0.9824364662170411,,,1.0,0.0003903239965438843,0.014201468390387459,1.0,0.001,1.0,0.0001,0.0007829607269298789,0.001118317569725568,0.005770826661908948,1.2400171756744385
32,,0.9979528188705444,-0.010410498082637786,0.9897480010986328,,,1.0,0.0005124660359846579,0.017032316568735485,1.0,0.001,1.0,0.0001,0.0007108661626950158,0.0009527675936476806,0.0048960874209532865,1.2410976886749268
64,,0.9972015023231506,-0.025050526857376097,0.994786262512207,,,1.0,0.0002699141566817825,0.01198285334819072,1.0,0.001,1.0,0.0001,0.00033487572973417873,0.0003950502078451619,0.006529558349300075,1.2435086965560913
128,,0.9964245557785034,-0.04459273219108582,0.9955779075622558,,,1.0,0.0005529104455097301,0.01597464922312144,1.0,0.001,1.0,0.0001,0.00012735931119784032,0.002136385573288174,0.004182019749203244,1.2453999519348145
32,,0.9933801293373108,-0.031052997708320616,0.9875478744506836,,,1.0,0.0005071005305728397,0.016519832611083984,1.0,0.001,1.0,0.0001,0.000704849002775862,0.0007123938727041555,0.00646234122482506,1.2352906465530396
64,,0.9968307614326477,-0.02802044153213501,0.9948009490966797,,,1.0,0.0005949075157577927,0.0190746951747585,1.0,0.001,1.0,0.0001,0.00020139080388125385,0.0023157449181166454,0.005153313681886003,1.2429721355438232
128,,0.9946431517601013,-0.017091520130634308,0.9910517692565918,,,1.0,0.0006395437427469202,0.019507052447344807,1.0,0.001,1.0,0.0001,0.00015068029175823981,0.0028465874642574205,0.010352641344070435,1.242555022239685
